year,reported_patients
1961,0.187560387070456
1962,1.33930845188581
1963,8.89743789393849
1964,55.1087724691473
1965,296.299251848235
1966,1042.56959702896
1967,1565.82978819202
1968,1196.51998981222
1969,850.988311602661
1970,735.651402930633
1971,746.660551825448
1972,803.821923930749
1973,852.369743557179
1974,867.719189732173
1975,856.425499536142
1976,836.49454641468
1977,820.039250239743
1978,810.18681657908
1979,804.961413495486
1980,801.233210731755
1981,796.814545091805
1982,790.926976877884
1983,783.77090357125
1984,775.895235405263
1985,767.768056658605
1986,759.626969481005
1987,751.512794418765
1988,743.365531933944
1989,735.10669120911
1990,726.682590008193
1991,718.073848778231
1992,709.286617024429
1993,700.339186810077
1994,691.251560365683
1995,682.040100929076
1996,672.716318609271
1997,663.28790218626
1998,653.760394940314
1999,644.138600512342
2000,634.427412609959
2001,624.632124597772
2002,614.758410999117
2003,604.812168693015
2004,594.799343854432
2005,584.725804633232
2006,574.597272591417
2007,564.419301619035
2008,554.197285799342
2009,543.936479885558
2010,533.642021640723
2011,523.318950731952
2012,512.972222710642
2013,502.606718697381
2014,492.227252152376
2015,481.838574096467
2016,471.445377798449
2017,461.052303539171
2018,450.663943735323
2019,440.284848493078
2020,429.919531550574
